ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"94.139.169.250","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","190","WiMAX","5678","socks4","4908","1","2023-10-13T14:56:34.180Z","98","4173","4242"
"201.251.155.253","elite","AS22927","AR","Telefonica de Argentina","276","Cooperativa Telefonica OYIKIL LTDA","5678","socks4","4604","1","2023-10-13T14:56:34.181Z","99","4091","4133"
"104.27.122.6","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4700","1","2023-10-13T14:56:34.181Z","100","4285","4286"
"27.72.145.184","elite","AS7552","VN","Newass2011xDSLHN","382","N/A","5678","socks4","5097","1","2023-10-13T14:56:34.180Z","99","4310","4342"
"114.222.99.99","elite","AS4134","CN","Chinanet","194","Chinanet JS","1080","socks4","4794","1","2023-10-13T14:56:34.182Z","67","2883","4273"
"128.199.150.88","elite","AS14061","SG","DigitalOcean, LLC","167","DigitalOcean, LLC","64054","socks4","4999","1","2023-10-13T14:56:34.177Z","95","4082","4278"
"36.67.14.195","elite","AS7713","ID","PT. Telekomunikasi Indonesia","398","N/A","5678","socks4","5012","1","2023-10-13T14:56:23.580Z","80","3484","4347"
"180.241.249.131","elite","AS7713","ID","PT. TELKOM INDONESIA","186","N/A","8080","socks5","4910","1","2023-10-13T14:56:23.585Z","53","2296","4299"
"74.95.1.114","elite","AS33651","US","Comcast Cable Communications","160","Budget INN SAN Leandro","33108","socks4","4591","1","2023-10-13T14:56:23.584Z","99","4258","4315"
"103.60.138.33","elite","AS134016","IN","Velocity Internet India Private Ltd","142","Velocity Internet India Private Ltd","4153","socks4","4997","1","2023-10-13T14:56:23.585Z","99","4278","4335"
"103.12.246.109","elite","AS134941","IN","Instant Cable Network PVT LTD","183","Instant Cable Network PVT LTD","4145","socks4","4311","1","2023-10-13T14:56:23.581Z","99","4340","4372"
"181.66.37.53","elite","AS6147","PE","Telefonica del Peru S.A.A.","283","Telefonica del Peru S.A.A","4153","socks4","5004","1","2023-10-13T14:56:23.582Z","62","2684","4298"
"192.241.177.96","elite","AS14061","US","DigitalOcean, LLC","84","Digital Ocean","10599","socks5","4986","1","2023-10-13T14:56:14.091Z","100","4335","4350"
"201.149.108.226","elite","AS61873","BR","Seven7 Internet Provider","209","Seven7 Internet Provider","239","socks4","588","1","2023-10-13T14:56:04.578Z","93","4008","4314"
"139.196.186.157","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","184","Aliyun Computing Co., LTD","24001","socks5","5102","1","2023-10-13T14:56:04.576Z","82","3551","4313"
"166.62.52.254","elite","AS398101","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","5138","socks4","4694","80","2023-10-13T14:56:04.577Z","99","4270","4317"
"89.237.32.66","elite","AS20485","RU","multi-origin SUTTK","84","N/A","51549","socks4","5092","2","2023-10-13T14:56:04.577Z","99","4340","4393"
"78.38.108.194","elite","AS58224","IR","Iran Telecommunication Company PJS","122","Abol Medical University","1080","socks5","4791","1","2023-10-13T14:55:54.780Z","81","3484","4309"
"181.78.13.93","elite","AS52468","CO","IFX Networks Argentina S.R.L","136","UFINET COLOMBIA, S. A","5678","socks4","4302","1","2023-10-13T14:55:54.783Z","99","4348","4387"
"185.238.228.67","elite","AS209242","GB","Cloudflare London, LLC","12","Invermae Solutions SL","80","socks4","4908","1","2023-10-13T14:55:54.782Z","100","4389","4389"
"177.128.18.27","elite","AS262362","BR","B. D. MATOS & CIA LTDA - SINET INTERNET","210","B. D. MATOS & CIA LTDA - SINET INTERNET","5678","socks4","4802","84","2023-10-13T14:55:54.782Z","25","1082","4374"
"112.78.164.62","elite","AS17451","ID","Biznet Networks","200","Metronet","5678","socks4","427","1","2023-10-13T14:55:54.783Z","94","4132","4402"
"118.99.73.213","elite","AS17451","ID","BIZNET","172","N/A","61221","socks4","4900","1","2023-10-13T14:55:54.780Z","96","4140","4326"
"169.239.221.89","elite","AS328471","ZA","Herotel","227","N/A","1080","socks4","4900","1","2023-10-13T14:55:45.187Z","99","4314","4378"
"101.108.165.70","elite","AS23969","TH","TOT Public Company Limited","200","TOT Public Company Limited","4145","socks4","4503","1","2023-10-13T14:55:45.189Z","41","1803","4345"
"103.79.152.203","elite","AS131111","ID","MORATELINDO","164","Moratelindo","5678","socks4","4802","1","2023-10-13T14:55:45.185Z","96","4152","4321"
"199.60.103.160","elite","AS209242","US","Cloudflare London, LLC","12","HubSpot, Inc.","80","socks5","517","1","2023-10-13T14:55:45.188Z","100","4342","4342"
"137.184.34.178","elite","AS14061","US","DigitalOcean, LLC","153","DigitalOcean, LLC","12345","socks5","2601","1","2023-10-13T14:55:35.680Z","89","3849","4319"
"91.148.233.54","elite","AS50525","DE","Privado Networks AG","11","Privado Networks Frankfurt","8081","socks4","4901","1","2023-10-13T14:55:35.681Z","100","4336","4338"
"103.140.83.94","elite","AS132290","BD","The Net","197","The","4145","socks4","4194","1","2023-10-13T14:55:35.679Z","99","4284","4336"
"167.172.181.111","elite","AS14061","DE","DigitalOcean, LLC","29","DigitalOcean, LLC","80","socks5","4691","1","2023-10-13T14:55:26.187Z","100","4321","4322"
"197.235.15.249","elite","AS37223","MZ","VM  S.A","288","VM S.A","4153","socks4","1993","1","2023-10-13T14:55:26.188Z","62","2707","4398"
"85.25.93.172","elite","AS8972","FR","Host Europe GmbH","11","HE Mass","5566","socks4","2893","2","2023-10-13T14:55:26.189Z","98","4213","4285"
"106.40.241.108","elite","AS4134","CN","Chinanet","191","Chinanet HN","3256","socks4","5000","1","2023-10-13T14:55:16.677Z","55","2322","4249"
"151.237.173.212","elite","AS29072","RU","Regional Digital Telecommunication Company","391","Regional Digital Telecommunication Company","62311","socks5","5093","1","2023-10-13T14:55:16.677Z","99","4284","4335"
"77.37.155.85","elite","AS42610","RU","NCNET","49","N/A","1080","socks5","6997","1","2023-10-13T14:55:16.674Z","90","3869","4294"
"94.130.184.102","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","10015","socks5","4309","1","2023-10-13T14:55:16.692Z","95","4062","4265"
"202.148.5.34","elite","AS9794","ID","PT. Core Mediatech","186","N/A","5678","socks4","3410","1","2023-10-13T14:55:16.677Z","99","4217","4279"
"5.135.178.11","elite","AS16276","FR","OVH SAS","81","OVH","11624","socks5","4999","1","2023-10-13T14:55:16.680Z","100","4343","4343"
